question_id,category,company,role,round,topic,difficulty,question,evidence_type,source_note
56,Cloud Companies,Rackspace Technology,DevOps Engineer,Technical Round,Kubernetes,Medium,How would you monitor and alert on a system using Kubernetes? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
57,Product Companies,ServiceNow,Security Engineer,HR Round,OOP,Easy,Describe an implementation of OOP and explain its time or resource complexity. Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
58,Product Companies,Mastercard,Cloud Engineer,Managerial Round,DBMS,Hard,How would you debug a production issue involving DBMS? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
59,Service Companies,Mphasis,Software Engineer,Technical Round,Python,Hard,Explain Python with a practical example. Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
60,AI/ML Companies,Hewlett Packard Enterprise,DevOps Engineer,Online Assessment,Probability,Medium,How would you explain Probability to an engineering team that has not used it before? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
61,AI/ML Companies,Hewlett Packard Enterprise,Software Engineer,Coding Round,Computer Vision,Medium,Explain Computer Vision and discuss where it is useful in a production ML system. Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
62,Automotive Companies,Valeo,Data Scientist,Online Assessment,Computer Vision,Medium,How would you test a component involving Computer Vision? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
63,Automotive Companies,Aptiv,Security Engineer,Managerial Round,ISO 26262,Easy,Compare two approaches to implementing ISO 26262 in an automotive environment. Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
64,Cybersecurity Companies,F5,Frontend Engineer,Technical Round,Threat Detection,Hard,How would you respond if a production system showed signs of compromise involving Threat Detection? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
65,Product Companies,Atlassian,Security Engineer,HR Round,JavaScript,Medium,What are the most important trade-offs when working with JavaScript? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
66,AI/ML Companies,Siemens,Data Engineer,Managerial Round,Probability,Medium,How would you monitor a production system involving Probability? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
67,Cloud Companies,Oracle,Frontend Engineer,Online Assessment,Scalability,Easy,Compare two approaches to Scalability for a large distributed application. Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
68,AI/ML Companies,AMD,Data Scientist,Coding Round,MLOps,Easy,What can cause poor performance in a MLOps pipeline? Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
69,Cybersecurity Companies,Microsoft Security,Full Stack Engineer,Online Assessment,Network Security,Medium,What logs or telemetry would you collect for Network Security? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
70,HR/Behavioral,Salesforce,Security Engineer,Online Assessment,Communication,Medium,Describe a time you received critical feedback. How did you respond?,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
71,Service Companies,Cognizant,Cloud Engineer,Online Assessment,Coding,Hard,How would you test a solution based on Coding? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
72,Product Companies,Oracle,QA Engineer,System Design,DBMS,Hard,Describe an implementation of DBMS and explain its time or resource complexity. Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
73,Product Companies,Atlassian,Data Engineer,System Design,Computer Networks,Hard,Explain Computer Networks and describe a situation where you used it in a project. Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
74,Product Companies,Cisco,Backend Engineer,Online Assessment,API Design,Hard,What are the most important trade-offs when working with API Design? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
75,Product Companies,Texas Instruments,Software Engineer,Online Assessment,DSA,Medium,What failure scenarios should be considered when designing around DSA? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
76,Service Companies,Cognizant,Data Engineer,Technical Round,Testing,Hard,Explain Testing with a practical example. Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
77,Product Companies,Mastercard,QA Engineer,Online Assessment,SQL,Hard,How would you improve an existing system that has problems related to SQL? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
78,AI/ML Companies,MathWorks,QA Engineer,System Design,System Design,Easy,How would you evaluate a system based on System Design? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
79,AI/ML Companies,Siemens,Frontend Engineer,Managerial Round,Generative AI,Hard,How would you monitor a production system involving Generative AI? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
80,Cybersecurity Companies,CyberArk,Security Engineer,Coding Round,Secure Coding,Hard,How would you validate that a control based on Secure Coding is working? Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
81,Cloud Companies,DigitalOcean,ML Engineer,System Design,IAM,Hard,How would you troubleshoot a failure involving IAM? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
82,Cloud Companies,Huawei Cloud,Data Engineer,Technical Round,Containers,Medium,How would you reduce cost without sacrificing reliability in a Containers architecture? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
83,Automotive Companies,Volkswagen,Data Scientist,System Design,Real-Time Systems,Hard,Compare two approaches to implementing Real-Time Systems in an automotive environment. Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
84,Service Companies,Infosys,ML Engineer,Online Assessment,SQL,Medium,How would you test a solution based on SQL? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
85,Cloud Companies,Akamai,Frontend Engineer,Coding Round,Databases,Easy,How would you recover from a major failure in a system involving Databases? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
86,Service Companies,IBM Consulting,Data Scientist,Managerial Round,Agile,Hard,Compare two approaches to Agile and discuss their advantages. Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
87,Product Companies,Salesforce,Full Stack Engineer,Online Assessment,System Design,Easy,How would you test a feature that depends heavily on System Design? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
88,Product Companies,Microsoft,Data Scientist,Technical Round,OOP,Easy,Explain OOP and describe a situation where you used it in a project. Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
89,HR/Behavioral,Deloitte,Frontend Engineer,HR Round,Leadership,Medium,Describe how you handle ambiguity in a project. Explain what you learned from the experience.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
90,Cybersecurity Companies,Cisco,ML Engineer,System Design,Threat Hunting,Medium,How would you validate that a control based on Threat Hunting is working? Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
91,Automotive Companies,Denso,QA Engineer,System Design,ADAS,Hard,How would you optimize performance in a system using ADAS? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
92,Product Companies,Qualcomm,Data Engineer,System Design,DBMS,Hard,What are the most important trade-offs when working with DBMS? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
93,Product Companies,Texas Instruments,QA Engineer,System Design,Computer Networks,Medium,Compare two common approaches to Computer Networks. When would you choose each? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
94,Service Companies,HCLTech,ML Engineer,System Design,Project Discussion,Easy,What questions would you ask before implementing Project Discussion for a client? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
95,Product Companies,VMware,Software Engineer,Coding Round,Debugging,Hard,What are the most important trade-offs when working with Debugging? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
96,HR/Behavioral,NVIDIA,Backend Engineer,HR Round,Teamwork,Medium,Tell me about a time you helped a teammate succeed. Focus on what you personally contributed.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
97,AI/ML Companies,NVIDIA,Cloud Engineer,Technical Round,Deep Learning,Hard,How would you evaluate a system based on Deep Learning? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
98,Cloud Companies,Hewlett Packard Enterprise,Security Engineer,HR Round,Docker,Hard,What security risks should be considered when using Docker? Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
99,Product Companies,Mastercard,ML Engineer,Online Assessment,OOP,Medium,What failure scenarios should be considered when designing around OOP? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
100,Product Companies,PayPal,Full Stack Engineer,Online Assessment,JavaScript,Easy,How would you debug a production issue involving JavaScript? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
101,Service Companies,Accenture,Frontend Engineer,Coding Round,Problem Solving,Easy,Compare two approaches to Problem Solving and discuss their advantages. Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
102,Service Companies,CGI,Data Engineer,Managerial Round,Project Discussion,Medium,How would you troubleshoot a client issue involving Project Discussion? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
103,Service Companies,Persistent Systems,QA Engineer,HR Round,Project Discussion,Hard,How would you optimize a solution that uses Project Discussion? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
104,Automotive Companies,Toyota,Frontend Engineer,Online Assessment,Testing,Easy,How would you optimize performance in a system using Testing? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
105,Product Companies,ServiceNow,Data Engineer,HR Round,OOP,Easy,What are the most important trade-offs when working with OOP? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
106,Product Companies,PayPal,Cloud Engineer,HR Round,System Design,Hard,Compare two common approaches to System Design. When would you choose each? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
107,Product Companies,Adobe,Full Stack Engineer,Coding Round,Operating Systems,Medium,Describe an implementation of Operating Systems and explain its time or resource complexity. Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
108,Service Companies,Virtusa,Systems Engineer,Coding Round,Project Discussion,Medium,How would you test a solution based on Project Discussion? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
109,Automotive Companies,ZF,Data Scientist,Online Assessment,Sensors,Medium,How would you optimize performance in a system using Sensors? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
110,Service Companies,Capgemini,DevOps Engineer,HR Round,Cloud Basics,Medium,Write a solution for a programming problem involving Cloud Basics. Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
111,Service Companies,NTT DATA,Backend Engineer,Managerial Round,Java,Hard,Describe a project where Java could be used effectively. Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
112,Product Companies,Qualcomm,QA Engineer,HR Round,Operating Systems,Easy,How would you design a scalable Operating Systems solution for a product used by millions of users? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
113,Automotive Companies,BorgWarner,Cloud Engineer,System Design,Automotive Ethernet,Medium,How would you validate a solution based on Automotive Ethernet before production? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
114,Product Companies,Atlassian,Security Engineer,HR Round,Microservices,Easy,What failure scenarios should be considered when designing around Microservices? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
115,AI/ML Companies,Samsung,ML Engineer,Managerial Round,Deep Learning,Medium,Compare two approaches commonly used for Deep Learning. Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
116,Cybersecurity Companies,Zscaler,Cloud Engineer,Online Assessment,Cloud Security,Hard,What are the most common weaknesses associated with Cloud Security? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
117,Service Companies,DXC Technology,Security Engineer,Technical Round,Agile,Easy,Describe a project where Agile could be used effectively. Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
118,Service Companies,IBM Consulting,Security Engineer,Managerial Round,Coding,Easy,How would you explain Coding to a non-technical client? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
119,Product Companies,Qualcomm,QA Engineer,Managerial Round,Java,Easy,"What performance problems can occur with Java, and how would you identify them? Discuss common failure cases.",Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
120,AI/ML Companies,Siemens,Frontend Engineer,HR Round,Data Structures,Medium,What assumptions are important when applying Data Structures? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
121,Service Companies,Virtusa,Data Scientist,Coding Round,DSA,Hard,What are the common mistakes candidates make when working with DSA? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
122,Product Companies,PayPal,QA Engineer,Online Assessment,Testing,Medium,Describe an implementation of Testing and explain its time or resource complexity. Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
123,HR/Behavioral,Palo Alto Networks,Full Stack Engineer,HR Round,Leadership,Medium,Describe a time when you had to learn a new technology quickly. Focus on what you personally contributed.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
124,Product Companies,Atlassian,Software Engineer,HR Round,DBMS,Easy,How would you test a feature that depends heavily on DBMS? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
125,AI/ML Companies,Dell Technologies,DevOps Engineer,Online Assessment,System Design,Medium,What data problems can affect a solution based on System Design? Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
126,HR/Behavioral,Infosys,Systems Engineer,HR Round,Ownership,Easy,How do you decide what to do first when everything seems urgent? Mention what you would do differently now.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
